student_id,hw_1,hw_2,hw_3,hw_4,hw_5,hw_6
john_doe_71,19.14,23.8,22.45,18.52,21.97,25.44
john_doe_72,19.14,22.74,22.44,18.43,21.81,25.3
john_doe_73,19.12,22,22.38,18.1,21.74,24.93
john_doe_74,19.12,21.78,22.13,17.65,21.57,24.69
john_doe_75,18.87,21.26,21.93,16.35,21.5,24.4
john_doe_76,18.87,20.12,21.93,15.8,21.49,24.38
john_doe_77,18.47,19.81,21.6,15.52,21.46,23.3
john_doe_78,18.47,19.55,21.22,12.67,21.33,22.86
john_doe_79,18.39,19.18,21.16,12.64,20.94,22.06
john_doe_80,18.37,19.09,20.88,12.04,20.71,20.46
john_doe_81,18.2,19,20.79,10.73,20.55,19.28
john_doe_82,18.04,18.69,19.77,0,20.04,18.93
john_doe_83,17.35,18.65,19.51,0,20.01,14.13
john_doe_84,17.29,18.53,17.52,0,19.51,9.87
john_doe_85,17.27,18.37,17.05,0,18.46,6.21
john_doe_86,16.96,18.16,16.4,0,18.25,5.6
john_doe_87,16.79,17.75,16.26,0,6.45,3
john_doe_88,16.52,17.23,14.45,0,0,2.72
john_doe_89,16.39,17.06,14.3,0,0,2.5
john_doe_90,16.06,16.33,13.85,0,0,0
john_doe_91,15.45,13.73,12.89,0,0,0
john_doe_92,15.39,13.61,12.35,0,0,0
john_doe_93,15.29,10.68,11.57,0,0,0
john_doe_94,14.31,10.24,9,0,0,0
john_doe_95,13.45,3,5.83,0,0,0
john_doe_96,0,0,0,0,0,0
john_doe_97,0,0,0,0,0,0
john_doe_98,0,0,0,0,0,0
john_doe_99,0,0,0,0,0,0
